"seqnames"	"start"	"end"	"width"	"strand"	"peakName"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"
"chr1"	97697677	97698038	362	"*"	"peak2371"	"Promoter (<=1kb)"	1	97697897	97721433	23537	1	"Gin1"	"NM_001310773"	0
"chr1"	98023193	98023530	338	"*"	"peak2375"	"Promoter (<=1kb)"	1	97748819	98023357	274539	2	"Pam"	"NM_013626"	0
"chr1"	105591211	105591953	743	"*"	"peak2403"	"Promoter (<=1kb)"	1	105446147	105591401	145255	2	"Pign"	"NM_013784"	0
"chr1"	111792100	111792856	757	"*"	"peak2455"	"Promoter (<=1kb)"	1	111786432	111792648	6217	2	"Dsel"	"NM_001081316"	0
"chr1"	118316402	118316800	399	"*"	"peak2485"	"Promoter (<=1kb)"	1	118316788	118537192	220405	1	"Clasp1"	"NM_001293300"	0
"chr1"	118316905	118317246	342	"*"	"peak2486"	"5' UTR"	1	118316788	118537192	220405	1	"Clasp1"	"NM_029709"	117
"chr1"	119576342	119576557	216	"*"	"peak2556"	"5' UTR"	1	119472763	119576730	103968	2	"Epb41l5"	"NM_145506"	173
"chr1"	119765083	119765697	615	"*"	"peak2557"	"Promoter (<=1kb)"	1	119585823	119764801	178979	2	"Ptpn4"	"NM_019933"	-282
"chr1"	127701526	127702011	486	"*"	"peak2820"	"Promoter (<=1kb)"	1	127681354	127701791	20438	2	"2900009J06Rik"	"NR_045298"	0
"chr1"	128171731	128172272	542	"*"	"peak2830"	"Promoter (<=1kb)"	1	128171874	128207115	35242	1	"Ubxn4"	"NM_001356529"	0
"chr1"	128287312	128287600	289	"*"	"peak2835"	"Promoter (<=1kb)"	1	128259312	128287442	28131	2	"Mcm6"	"NM_001313695"	0
"chr1"	131794826	131795258	433	"*"	"peak2951"	"Promoter (<=1kb)"	1	131795015	131800626	5612	1	"Rab29"	"NM_144875"	0
"chr1"	132953051	132953293	243	"*"	"peak3008"	"Promoter (<=1kb)"	1	132913843	132953154	39312	2	"Mdm4"	"NM_001302801"	0
"chr1"	133058514	133059094	581	"*"	"peak3015"	"Promoter (<=1kb)"	1	133058904	133067538	8635	1	"Ppp1r15b"	"NM_133819"	0
"chr1"	134334004	134334159	156	"*"	"peak3087"	"Exon (NM_001355133/Cyb5r1, exon 2 of 9)"	1	134333519	134339476	5958	1	"Cyb5r1"	"NR_149307"	485
"chr1"	138784531	138784680	150	"*"	"peak3241"	"Promoter (<=1kb)"	1	138779717	138784592	4876	2	"2310009B15Rik"	"NM_001081226"	0
"chr1"	139349809	139350139	331	"*"	"peak3249"	"Promoter (<=1kb)"	1	139350121	139380745	30625	1	"Zbtb41"	"NM_172643"	0
"chr1"	143879661	143880391	731	"*"	"peak3268"	"Promoter (<=1kb)"	1	143875076	143879887	4812	2	"Rgs2"	"NM_009061"	0
"chr1"	151304060	151304653	594	"*"	"peak3323"	"Promoter (<=1kb)"	1	151243450	151304186	60737	2	"Swt1"	"NM_025819"	0
"chr1"	151630696	151631207	512	"*"	"peak3339"	"Promoter (<=1kb)"	1	151624701	151630769	6069	2	"2810414N06Rik"	"NR_151473"	0
"chr1"	152316763	152316953	191	"*"	"peak3364"	"Intron (NM_177756/Colgalt2, intron 1 of 11)"	1	152275618	152386446	110829	1	"Colgalt2"	"NM_177756"	41145
"chr1"	152778474	152779219	746	"*"	"peak3384"	"Promoter (<=1kb)"	1	152712746	152778397	65652	2	"Smg7"	"NM_001160256"	-77
"chr1"	155034207	155034685	479	"*"	"peak3484"	"Promoter (<=1kb)"	1	155034449	155079263	44815	1	"Stx6"	"NM_021433"	0
"chr1"	155884740	155884940	201	"*"	"peak3514"	"Intron (NM_001160019/Tor1aip1, intron 9 of 9)"	1	155880345	155910563	30219	2	"Tor1aip1"	"NM_001160019"	25623
"chr1"	157240081	157240391	311	"*"	"peak3557"	"Promoter (<=1kb)"	1	156962753	157240165	277413	2	"Rasal2"	"NM_177644"	0
"chr1"	160620287	160620659	373	"*"	"peak3648"	"Promoter (<=1kb)"	1	160084142	160620508	536367	2	"Rabgap1l"	"NM_013862"	0
"chr1"	160862038	160862817	780	"*"	"peak3655"	"Promoter (<=1kb)"	1	160862171	160866109	3939	1	"Gas5"	"NR_166052"	0
"chr1"	162567787	162568310	524	"*"	"peak3709"	"Promoter (<=1kb)"	1	162499354	162568125	68772	2	"Prrc2c"	"NM_001081290"	0
"chr1"	163606937	163607310	374	"*"	"peak3730"	"Promoter (<=1kb)"	1	163589957	163607109	17153	2	"Gm51663"	"NR_165475"	0
"chr1"	163822092	163822844	753	"*"	"peak3736"	"Promoter (<=1kb)"	1	163773562	163822365	48804	2	"BC055324"	"NM_001357049"	0
"chr1"	164134746	164135365	620	"*"	"peak3752"	"Promoter (<=1kb)"	1	164117368	164135056	17689	2	"Blzf1"	"NM_001357052"	0
"chr1"	165021970	165022121	152	"*"	"peak3791"	"Promoter (<=1kb)"	1	165001910	165022002	20093	2	"Sft2d2"	"NM_145512"	0
"chr1"	165064134	165064798	665	"*"	"peak3793"	"Promoter (<=1kb)"	1	165039855	165064527	24673	2	"Tiprl"	"NM_145513"	0
"chr1"	165116321	165116521	201	"*"	"peak3797"	"Distal Intergenic"	1	165123335	165154314	30980	1	"Gpr161"	"NM_001081126"	-6814
"chr1"	165462002	165462411	410	"*"	"peak3808"	"Promoter (<=1kb)"	1	165419745	165462110	42366	2	"Mpzl1"	"NM_001347128"	0
"chr1"	166206501	166207162	662	"*"	"peak3841"	"Promoter (<=1kb)"	1	166206736	166221189	14454	1	"Tada1"	"NM_030245"	0
"chr1"	169789432	169789617	186	"*"	"peak3949"	"Intron (NM_010476/Hsd17b7, intron 4 of 8)"	1	169777106	169796774	19669	2	"Hsd17b7"	"NM_010476"	7157
"chr1"	170872496	170872646	151	"*"	"peak4000"	"Distal Intergenic"	1	170878738	170886963	8226	2	"Fcgr3"	"NM_001356511"	14317
"chr1"	170929714	170929924	211	"*"	"peak4011"	"Distal Intergenic"	1	170941555	170954519	12965	1	"Cfap126"	"NM_001379427"	-11631
"chr1"	177085941	177086788	848	"*"	"peak4153"	"Distal Intergenic"	1	176847642	177076333	228692	2	"Akt3"	"NM_011785"	-9608
"chr1"	177810556	177811038	483	"*"	"peak4171"	"Distal Intergenic"	1	177818964	178000271	181308	1	"Catspere2"	"NM_001368822"	-7926
"chr1"	178358209	178358504	296	"*"	"peak4191"	"Exon (NM_001161665/Kif26b, exon 2 of 15)"	1	178356690	178760422	403733	1	"Kif26b"	"NM_001161665"	1519
"chr1"	179338770	179338938	169	"*"	"peak4238"	"Intron (NM_027188/Smyd3, intron 1 of 11)"	1	178779525	179345606	566082	2	"Smyd3"	"NM_027188"	6668
"chr1"	179373721	179374276	556	"*"	"peak4241"	"Promoter (<=1kb)"	1	179374094	179455038	80945	1	"Cnst"	"NM_146105"	0
"chr1"	179495741	179495942	202	"*"	"peak4247"	"Promoter (<=1kb)"	1	179495796	179514749	18954	1	"Sccpdh"	"NM_178653"	0
"chr1"	180130128	180130277	150	"*"	"peak4274"	"Distal Intergenic"	1	180158041	180251224	93184	1	"Itpkb"	"NM_001081175"	-27764
"chr1"	180971501	180972194	694	"*"	"peak4321"	"Promoter (<=1kb)"	1	180914703	180971769	57067	2	"Nvl"	"NM_026171"	0
"chr1"	181629663	181629851	189	"*"	"peak4351"	"Intron (NM_001377039/Dnah14, intron 80 of 85)"	1	181642880	181669966	27087	2	"Lbr"	"NM_133815"	40115
"chr1"	182169115	182169328	214	"*"	"peak4380"	"Promoter (<=1kb)"	1	182140667	182169171	28505	2	"Fbxo28"	"NM_175127"	0
"chr1"	182236251	182236841	591	"*"	"peak4384"	"Promoter (<=1kb)"	1	182236732	182290001	53270	1	"Trp53bp2"	"NM_173378"	0
"chr1"	185094902	185095365	464	"*"	"peak4545"	"Promoter (<=1kb)"	1	185095241	185160557	65317	1	"Eprs"	"NM_001357474"	0
"chr1"	187647590	187647739	150	"*"	"peak4668"	"Intron (NM_001243792/Esrrg, intron 2 of 7)"	1	187730024	187947081	217058	1	"Esrrg"	"NM_011935"	-82285
"chr1"	190660629	190660996	368	"*"	"peak4852"	"Promoter (<=1kb)"	1	190660687	190679160	18474	1	"Angel2"	"NM_001357131"	0
"chr1"	191129256	191129995	740	"*"	"peak4879"	"Promoter (<=1kb)"	1	191084178	191129238	45061	2	"Ppp2r5a"	"NM_144880"	-18
"chr1"	192717700	192718891	1192	"*"	"peak4980"	"Promoter (<=1kb)"	1	192573541	192718083	144543	2	"Syt14"	"NM_001301370"	0
"chr10"	7543163	7543322	160	"*"	"peak5247"	"Promoter (<=1kb)"	10	7543268	7554650	11383	1	"Nup43"	"NM_145706"	0
"chr10"	7668388	7668761	374	"*"	"peak5254"	"Promoter (<=1kb)"	10	7668658	7698327	29670	1	"Ppil4"	"NM_026141"	0
"chr10"	7831974	7832391	418	"*"	"peak5263"	"Promoter (<=1kb)"	10	7781412	7831887	50476	2	"Tab2"	"NM_138667"	-87
"chr10"	10196842	10197055	214	"*"	"peak5336"	"Distal Intergenic"	10	10110747	10134450	23704	1	"4930598N05Rik"	"NR_166112"	86095
"chr10"	11024885	11025553	669	"*"	"peak5346"	"Promoter (<=1kb)"	10	11025174	11085355	60182	1	"Shprh"	"NM_001284354"	0
"chr10"	11156468	11157192	725	"*"	"peak5348"	"Promoter (<=1kb)"	10	11157074	11173713	16640	1	"Fbxo30"	"NM_027968"	0
"chr10"	13068456	13068623	168	"*"	"peak5387"	"Intron (NM_181470/Ltv1, intron 1 of 10)"	10	13054381	13068881	14501	2	"Ltv1"	"NM_181470"	258
"chr10"	13826565	13826714	150	"*"	"peak5424"	"Distal Intergenic"	10	13841819	14027122	185304	1	"Hivep2"	"NM_001358783"	-15105
"chr10"	14085847	14085996	150	"*"	"peak5434"	"Distal Intergenic"	10	13842123	14027122	185000	1	"Hivep2"	"NM_010437"	243724
"chr10"	14580884	14581453	570	"*"	"peak5439"	"Promoter (<=1kb)"	10	14581353	14634763	53411	1	"1700016L04Rik"	"NR_045824"	0
"chr10"	17486417	17486566	150	"*"	"peak5451"	"Distal Intergenic"	10	17598976	17601422	2447	1	"Cited2"	"NM_010828"	-112410
"chr10"	17598442	17599431	990	"*"	"peak5456"	"Promoter (<=1kb)"	10	17598976	17601422	2447	1	"Cited2"	"NM_010828"	0
"chr10"	17931195	17931355	161	"*"	"peak5465"	"Promoter (<=1kb)"	10	17931688	18000903	69216	1	"Reps1"	"NM_001111065"	-333
"chr10"	18430963	18431112	150	"*"	"peak5496"	"Distal Intergenic"	10	18415871	18421824	5954	2	"Hebp2"	"NM_019487"	-9139
"chr10"	19783094	19783287	194	"*"	"peak5537"	"Exon (NM_001161825/Pex7, exon 1 of 9)"	10	19735836	19783420	47585	2	"Pex7"	"NM_001161825"	133
"chr10"	20166359	20166668	310	"*"	"peak5562"	"Distal Intergenic"	10	20173327	20173434	108	2	"Mir6413"	"NR_105840"	6766
"chr10"	25303548	25303918	371	"*"	"peak5755"	"Intron (NM_001199265/Epb41l2, intron 1 of 19)"	10	25284266	25399416	115151	1	"Epb41l2"	"NM_013511"	19282
"chr10"	30076214	30076713	500	"*"	"peak5813"	"Promoter (<=1kb)"	10	30072005	30076536	4532	2	"Cenpw"	"NM_001109747"	0
"chr10"	34173371	34173537	167	"*"	"peak5852"	"Promoter (<=1kb)"	10	34173417	34177316	3900	1	"Tspyl4"	"NM_030203"	0
"chr10"	40134455	40134838	384	"*"	"peak5964"	"Promoter (<=1kb)"	10	40134464	40134675	212	1	"Rnu3a"	"NR_002842"	0
"chr10"	40759031	40759874	844	"*"	"peak5995"	"Promoter (<=1kb)"	10	40707618	40759139	51522	2	"Cdc40"	"NM_027879"	0
"chr10"	42637214	42637736	523	"*"	"peak6110"	"Promoter (<=1kb)"	10	42637492	42708510	71019	1	"Sec63"	"NM_001359283"	0
"chr10"	43097273	43097692	420	"*"	"peak6137"	"Promoter (<=1kb)"	10	43097482	43316244	218763	1	"Pdss2"	"NM_027772"	0
"chr10"	45980141	45980294	154	"*"	"peak6243"	"Distal Intergenic"	10	45683800	45728114	44315	1	"D030045P18Rik"	"NR_040624"	296341
"chr10"	46574144	46574308	165	"*"	"peak6249"	"Distal Intergenic"	10	45683800	45728114	44315	1	"D030045P18Rik"	"NR_040624"	890344
"chr10"	50468458	50469151	694	"*"	"peak6255"	"Promoter (<=1kb)"	10	50468765	50727298	258534	1	"Ascc3"	"NM_198007"	0
"chr10"	52293361	52293739	379	"*"	"peak6288"	"Promoter (<=1kb)"	10	52293643	52316288	22646	1	"Nus1"	"NM_030250"	0
"chr10"	52860780	52861022	243	"*"	"peak6299"	"Intron (NM_178675/Slc35f1, intron 2 of 7)"	10	53111283	53136832	25550	1	"Gm36173"	"NR_152766"	-250261
"chr10"	53951682	53952300	619	"*"	"peak6325"	"Promoter (<=1kb)"	10	53952018	53957177	5160	1	"Gm16998"	"NR_038016"	0
"chr10"	57362233	57362570	338	"*"	"peak6351"	"Promoter (<=1kb)"	10	57354479	57362449	7971	2	"4930467K11Rik"	"NR_045353"	0
"chr10"	57408437	57408755	319	"*"	"peak6352"	"Promoter (<=1kb)"	10	57391871	57408625	16755	2	"Serinc1"	"NM_019760"	0
"chr10"	59158922	59159310	389	"*"	"peak6435"	"Promoter (<=1kb)"	10	59159118	59209126	50009	1	"P4ha1"	"NM_001316370"	0
"chr10"	59787583	59787943	361	"*"	"peak6487"	"Promoter (<=1kb)"	10	59785497	59787592	2096	2	"Ddit4"	"NM_029083"	0
"chr10"	59838302	59839158	857	"*"	"peak6490"	"Promoter (<=1kb)"	10	59823231	59838957	15727	2	"Anapc16"	"NM_001347451"	0
"chr10"	61515836	61516162	327	"*"	"peak6598"	"Promoter (<=1kb)"	10	61510306	61516069	5764	2	"1700022H01Rik"	"NR_126477"	0
"chr10"	62322536	62323202	667	"*"	"peak6635"	"Promoter (<=1kb)"	10	62290622	62322584	31963	2	"Vps26a"	"NM_001358543"	0
"chr10"	62414120	62414442	323	"*"	"peak6639"	"Promoter (<=1kb)"	10	62394249	62414236	19988	2	"Kifbp"	"NM_028197"	0
"chr10"	62859335	62860139	805	"*"	"peak6663"	"Promoter (<=1kb)"	10	62850443	62859628	9186	2	"Hnrnph3"	"NM_001079824"	0
"chr10"	67106998	67107176	179	"*"	"peak6746"	"Intron (NM_001036293/Nrbf2, intron 2 of 3)"	10	67102468	67121060	18593	2	"Nrbf2"	"NM_001036293"	13884
"chr10"	67932447	67932631	185	"*"	"peak6796"	"Exon (NM_023598/Arid5b, exon 10 of 10)"	10	67815400	67879694	64295	1	"Rtkn2"	"NM_001359319"	117047
"chr10"	70434624	70434795	172	"*"	"peak6929"	"Intron (NM_178621/Phyhipl, intron 1 of 4)"	10	70393516	70435121	41606	2	"Phyhipl"	"NM_178621"	326
"chr10"	72490416	72490899	484	"*"	"peak6990"	"Promoter (<=1kb)"	10	72490678	72505624	14947	1	"Zwint"	"NM_001293684"	0
"chr10"	76797702	76798120	419	"*"	"peak7148"	"Promoter (<=1kb)"	10	76597688	76797781	200094	2	"Pcbp3"	"NM_001347216"	0
"chr10"	78522797	78522965	169	"*"	"peak7282"	"Distal Intergenic"	10	78547829	78554127	6299	2	"Casp14"	"NM_009809"	31162
"chr10"	78673425	78673614	190	"*"	"peak7292"	"Distal Intergenic"	10	78682785	78683747	963	2	"Olfr1356"	"NM_146308"	10133
"chr10"	79602834	79603142	309	"*"	"peak7307"	"Promoter (<=1kb)"	10	79594349	79602786	8438	2	"Rnf126"	"NR_027505"	-48
"chr10"	80426070	80426575	506	"*"	"peak7386"	"Promoter (<=1kb)"	10	80419483	80426175	6693	2	"Abhd17a"	"NM_145421"	0
"chr10"	80457836	80458566	731	"*"	"peak7388"	"Promoter (<=1kb)"	10	80458614	80476605	17992	1	"Csnk1g2"	"NM_134002"	-48
"chr10"	81186251	81186616	366	"*"	"peak7440"	"Promoter (<=1kb)"	10	81181880	81186260	4381	2	"Hmg20b"	"NM_001163165"	0
"chr10"	84411917	84412541	625	"*"	"peak7571"	"Promoter (<=1kb)"	10	84412811	84450219	37409	1	"Tcp11l2"	"NM_146008"	-270
"chr10"	85764362	85764511	150	"*"	"peak7647"	"Exon (NM_001163614/Ascl4, exon 1 of 1)"	10	85763266	85765513	2248	1	"Ascl4"	"NM_001163614"	1096
"chr10"	88118957	88119106	150	"*"	"peak7730"	"Distal Intergenic"	10	88158666	88192937	34272	2	"Dram1"	"NM_027878"	73831
"chr10"	89151286	89151530	245	"*"	"peak7770"	"Distal Intergenic"	10	88784856	89093652	308797	2	"Ano4"	"NR_102339"	-57634
"chr10"	89344679	89344828	150	"*"	"peak7780"	"Promoter (2-3kb)"	10	89290096	89342520	52425	2	"Nr1h4"	"NM_009108"	-2159
"chr10"	91072810	91072959	150	"*"	"peak7839"	"Distal Intergenic"	10	91044356	91056481	12126	2	"4930534H03Rik"	"NR_151510"	-16329
"chr10"	95159959	95160148	190	"*"	"peak8006"	"Promoter (<=1kb)"	10	95010601	95159999	149399	2	"Cradd"	"NM_001330141"	0
"chr10"	95679294	95679481	188	"*"	"peak8025"	"Promoter (<=1kb)"	10	95659835	95678772	18938	2	"Gm33543"	"NR_169127"	-522
"chr10"	98750006	98750513	508	"*"	"peak8073"	"Promoter (<=1kb)"	10	98750504	98862006	111503	1	"Atp2b1"	"NM_001359506"	0
"chr10"	105676863	105677406	544	"*"	"peak8133"	"Promoter (<=1kb)"	10	105677340	105683371	6032	1	"Ccdc59"	"NM_025602"	0
"chr10"	107997545	107998144	600	"*"	"peak8155"	"Promoter (<=1kb)"	10	107997959	108115846	117888	1	"Ppp1r12a"	"NM_001368736"	0
"chr10"	111808432	111808726	295	"*"	"peak8258"	"Promoter (<=1kb)"	10	111808600	111824335	15736	1	"Krr1"	"NM_178610"	0
"chr10"	112764833	112765056	224	"*"	"peak8269"	"Promoter (<=1kb)"	10	112761333	112764931	3599	2	"Atxn7l3b"	"NM_001033474"	0
"chr10"	115087245	115087548	304	"*"	"peak8288"	"Promoter (<=1kb)"	10	115033776	115087398	53623	2	"Tbc1d15"	"NM_025706"	0
"chr10"	115198064	115198448	385	"*"	"peak8296"	"Promoter (<=1kb)"	10	115176645	115198154	21510	2	"Tmem19"	"NM_001359470"	0
"chr10"	115220255	115221040	786	"*"	"peak8297"	"Promoter (<=1kb)"	10	115204303	115220340	16038	2	"Thap2"	"NM_025780"	0
