name,Fold_change,log2FC,Pvalue,VIP,regulated
"(R)-2-Amino-N-(2,2,4,4-tetramethyl-3-thietanyl)propanamide",0.429207283,-1.220253539,0.002792504,1.32608557,down
Trigofoenoside F,0.428559535,-1.22243246,0.00348665,1.25826968,down
"2,2,6,6-Tetramethyl-4-piperidinone",0.428184344,-1.22369605,2.32E-06,1.760477338,down
cis-5-Tetradecenoylcarnitine,0.426206321,-1.230376105,0.01226176,1.16187182,down
Inositol-P-ceramide,0.425898984,-1.231416808,0.030916659,1.01894694,down
"12-Oxo-2,3-dinor-10,15-phytodienoic acid",0.42576838,-1.231859283,0.00012123,1.548626044,down
PS(14:1(9Z)/14:1(9Z)),0.425294257,-1.233466723,0.018583009,1.130031312,down
Methadone,0.424193202,-1.237206593,0.001464593,1.346082543,down
Zalcitabine,0.423910618,-1.238167992,2.59E-10,1.859921436,down
(22Alpha)-hydroxy-5alpha-campestan-3-one,0.423811876,-1.23850408,0.000186765,1.496633992,down
6'-Apiosyllotaustralin,0.423433619,-1.239792276,0.007160592,1.160940649,down
11-Oxo-androsterone glucuronide,0.42283043,-1.241848889,1.24E-06,1.766034565,down
"N,O-Didesmethylvenlafaxine glucuronide",0.419295226,-1.253961692,0.025083365,1.022535011,down
Matesaponin 4,0.417916733,-1.258712572,0.0002893,1.526641558,down
Vignatic acid A,0.415769301,-1.266144856,0.028288883,1.07452216,down
"(3beta,24(241)Z)-24-Ethylidenelanost-9(11)-en-3-ol",0.415129115,-1.268367976,1.62E-06,1.757034727,down
2-Ethyl-1-hexanethiol,0.414761357,-1.269646611,2.63E-06,1.697889834,down
N-Palmitoyl tyrosine,0.412904738,-1.276119121,0.001209008,1.481347705,down
Torvoside A,0.409538769,-1.287928063,0.01325517,1.188074332,down
"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-glycero-3-phosphate",0.408746847,-1.290720492,0.000703023,1.404104888,down
3-Methyl-alpha-ionyl acetate,0.408468841,-1.291702064,4.64E-07,1.748087103,down
Pisumoside B,0.407068977,-1.296654819,0.016704613,1.0995604,down
Aldosterone 18-glucuronide,0.406400873,-1.299024595,0.001306165,1.354562637,down
Anidulafungin,0.405605939,-1.30184932,0.007932512,1.23710441,down
"(E,E)-Futoamide",0.405534074,-1.302104957,0.00036653,1.4695927,down
3-(Acetyloxy)-2-hydroxypropyl octadecanoate,0.404854062,-1.304526141,8.06E-05,1.605682746,down
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/24:1(15Z)/0:0)",0.403927613,-1.307831322,0.025509367,1.084715972,down
Glycyl-Serine,0.402516285,-1.312880943,0.00010092,1.685214291,down
"(10S,11S)-Pterosin C",0.401014719,-1.318272906,6.20E-06,1.775619541,down
3-Indolebutyric acid,0.400120234,-1.321494508,0.000401652,1.525054181,down
Citalopram N-oxide,0.399797327,-1.322659269,6.79E-06,1.80246468,down
[6]-Gingerdiol 5-acetate,0.398587474,-1.327031721,0.003952987,1.311224428,down
(-)-Riboflavin,0.39809334,-1.32882136,0.000128895,1.546241324,down
Bn-NCC-1,0.397044645,-1.332626855,0.000427489,1.504336269,down
Arginyl-Cysteine,0.396448447,-1.33479482,0.000347316,1.518610953,down
Lactapiperanol C,0.390418245,-1.35690762,0.017769973,1.058694425,down
"LysoPE(0:0/18:2(9Z,12Z))",0.390386226,-1.357025943,0.028339078,1.049889082,down
alpha-Acetolactate decarboxylase (enzyme preparation from bacillus subtilis recombinant),0.388765937,-1.363026276,0.010204856,1.197879249,down
(S)-Oleuropeic acid,0.388531276,-1.363897356,8.85E-07,1.743203538,down
Azacridone A,0.388116952,-1.365436646,0.023908335,1.076564331,down
Digoxigenin bisdigitoxoside,0.384437306,-1.379179752,0.001233809,1.362150946,down
3-Methyl-5-propyl-2-cyclohexen-1-one,0.384335543,-1.379561694,0.000111707,1.552171023,down
Obacunone,0.382520546,-1.386390854,7.71E-07,1.769141659,down
Ganoderic acid X,0.38125811,-1.391160067,2.01E-08,1.873146732,down
Rifaximin,0.380250446,-1.394978154,0.008431516,1.189187852,down
16a-hydroxy DHEA 3-sulfate,0.380193833,-1.395192964,0.00156055,1.447450196,down
2-Deoxybrassinolide,0.379636375,-1.397309864,4.82E-05,1.60762772,down
D8'-Merulinic acid C,0.37866287,-1.401014131,0.001991064,1.32946293,down
Methyl indole-3-acetate,0.376820622,-1.408050173,0.000231324,1.561696716,down
Alpha-Hydroxy-tamoxifen-O-glucuronide,0.376374782,-1.409758128,0.012893599,1.196155756,down
Erythrose,0.376304785,-1.410026461,0.002394379,1.400189324,down
Colistin,0.374868884,-1.415542014,0.002004921,1.290159695,down
Furanofukinin,0.374641227,-1.416418428,0.000105158,1.537083763,down
3-Epinobilin,0.372841317,-1.423366352,1.56E-05,1.608598007,down
N-Acetylserotonin glucuronide,0.372284688,-1.425521815,0.019572222,1.068717106,down
Taraxacolide 1-O-b-D-glucopyranoside,0.369862994,-1.434937135,0.001216423,1.497811148,down
LysoPE(0:0/22:1(13Z)),0.369575727,-1.436058087,7.17E-05,1.687737044,down
Ethyl crotonate,0.36909906,-1.437920033,3.97E-05,1.668015538,down
Linamarin,0.367306698,-1.444942892,0.001590912,1.368713519,down
Thelephoric acid,0.364648933,-1.455419921,0.00219885,1.354487151,down
"3beta-Cycloart-5-ene-3,25-diol",0.364381495,-1.4564784,3.74E-05,1.708990271,down
"2,6-Dimethyl-7-octene-1,6-diol 8-O-glucoside",0.363536828,-1.459826573,0.001421923,1.391274658,down
M-Secociguatoxin 4A,0.363011836,-1.461911506,0.017925785,1.137547919,down
alpha-Solamarine,0.362720509,-1.463069775,0.00172501,1.304996568,down
"2,3-Dinor-TXB2",0.362559641,-1.463709755,2.11E-05,1.698401745,down
Cytochalasin Ppho,0.362054114,-1.465722752,8.01E-06,1.642323576,down
(E)-2-Butenyl-4-methyl-threonine,0.360596695,-1.47154192,0.000294023,1.522777843,down
Cyclopamine,0.359201801,-1.477133513,0.01656311,1.064816245,down
13-Demethyl tacrolimus,0.35665762,-1.487388296,0.00890255,1.230973369,down
"(7'x,8'x)-4,7'-Epoxy-3,8'-bilign-7-ene-3,5'-dimethoxy-4',9,9'-triol",0.353623352,-1.499714549,0.010401517,1.217814256,down
Tetronasin,0.352421966,-1.504624246,0.00010928,1.63981361,down
PC(18:1(11Z)/P-18:1(11Z)),0.351989454,-1.506395888,0.004639185,1.32940838,down
Gazer,0.351909439,-1.506723882,0.000351643,1.455253452,down
Anhydrocinnzeylanine,0.350948715,-1.510667875,0.001526803,1.398119531,down
Myriocin,0.350293858,-1.513362403,0.000524372,1.554491709,down
3-Hydroxyhexadecadienoylcarnitine,0.347960867,-1.52300303,1.08E-05,1.705778198,down
"PE(20:2(11Z,14Z)/P-18:1(11Z))",0.34582925,-1.531868199,0.00098071,1.487489884,down
Digitoxin,0.343119253,-1.543218013,0.000115707,1.607356825,down
LysoPC(18:0),0.341617982,-1.549544179,5.66E-07,1.839558242,down
"5-Hydroxy, 6-methoxy duloxetine sulfate",0.339849483,-1.557032168,0.010178812,1.235788751,down
"5,9-Epidioxy-3-hydroxyergost-7-en-6-one",0.338410471,-1.563153886,0.004735639,1.311707072,down
3-O-Feruloylquinic acid,0.33440175,-1.580345699,7.61E-06,1.660816823,down
Cucurbitacin C,0.332712097,-1.587653774,0.000383992,1.429505589,down
"1-a,24R,25-Trihydroxyvitamin D2",0.329240953,-1.602784297,0.0104871,1.239906097,down
Valyl-Aspartate,0.328417989,-1.606394941,0.014774021,1.113850061,down
(+)-Galeon,0.327479866,-1.610521884,2.40E-06,1.803553124,down
"4-carboxy-5-cholesta-8,24-dien-3-ol",0.327072026,-1.612319722,0.000119585,1.532466626,down
Curcumin II,0.326208624,-1.616133173,0.023508889,1.013117718,down
Benzoyl glucuronide (Benzoic acid),0.325749021,-1.618167253,2.10E-05,1.648966699,down
Austinol,0.324250491,-1.624819336,0.014576912,1.160832264,down
13'-Hydroxy-alpha-tocopherol,0.324116519,-1.625415542,0.010684608,1.178874646,down
[12]-Gingerol,0.323962285,-1.626102226,0.003257951,1.358371479,down
S-(9-hydroxy-PGA1)-glutathione,0.320908749,-1.639764973,0.021838584,1.030337964,down
"2,3,5,6,8,8a-Hexahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one",0.319923328,-1.644201902,2.86E-07,1.786724049,down
Bilirubin,0.319047132,-1.64815853,0.004997797,1.240158313,down
"5-Hydroxy-p-mentha-6,8-dien-2-one",0.31887151,-1.648952889,0.023552062,1.044694837,down
Descarbonyl-lacosamide,0.318083518,-1.652522477,1.89E-05,1.725551155,down
Dehydrosoyasaponin I,0.316396176,-1.66019593,0.009490703,1.212216224,down
13-L-Hydroperoxylinoleic acid,0.315512536,-1.664230766,0.004294979,1.361967619,down
Natamycin,0.31546487,-1.66444874,0.009145512,1.169374674,down
Glucosylceramide (d18:1/25:0),0.314958559,-1.666766078,0.020858135,1.085039501,down
Ceramide (d18:1/9Z-18:1),0.314452659,-1.669085259,0.005195703,1.344027056,down
6-Hydroxyfluvastatin,0.313009791,-1.67572031,0.007247998,1.187911329,down
LysoPE(22:0/0:0),0.309489422,-1.692037997,4.43E-06,1.797783148,down
5-Methyltetrahydrofolic acid,0.309399313,-1.692458103,0.011654747,1.125720162,down
Sarafloxacin,0.307011514,-1.703635332,0.016602383,1.140394794,down
6beta-hydroxybudesonide,0.306726134,-1.704977001,0.043426073,1.008480377,down
Sporotrichiol,0.305123629,-1.712534187,0.002416918,1.439117809,down
Neoacrimarine F,0.303460688,-1.72041846,0.001140903,1.37982185,down
Ketotifen,0.303404545,-1.720685396,6.88E-07,1.769229708,down
Cinncassiol A 19-glucoside,0.303389235,-1.720758198,0.006829603,1.240715393,down
Dihydrocaffeic acid 3-O-glucuronide,0.301008259,-1.732125024,3.56E-05,1.673432315,down
"N,O-Didesmethyltramadol",0.296943267,-1.751740773,0.001182379,1.50401369,down
Asparaginyl-Hydroxyproline,0.294626971,-1.763038589,0.028627162,1.057034563,down
Withaperuvin H,0.294093561,-1.765652895,0.006719841,1.203100971,down
3-O-cis-Coumaroylmaslinic acid,0.293439295,-1.768866016,3.61E-07,1.746530978,down
CerP(d18:1/20:0),0.293173344,-1.770174161,1.18E-05,1.703845409,down
Obscuraminol A,0.292898245,-1.771528545,0.00262549,1.367919691,down
"LysoPE(22:4(7Z,10Z,13Z,16Z)/0:0)",0.292321716,-1.774371087,3.48E-09,1.829827006,down
Deoxyloganic acid,0.291398077,-1.778936738,2.28E-07,1.836648633,down
Deoxyuridine triphosphate,0.291073804,-1.780543088,0.018391355,1.131995212,down
Linalool oxide (trans-pyranoid),0.289710725,-1.787315,7.67E-05,1.666457211,down
9-HEPE,0.289596786,-1.787882505,0.011520989,1.099796227,down
"DG(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",0.289337768,-1.789173443,2.02E-05,1.76736577,down
"3,4-Methylenesebacic acid",0.287800527,-1.796858859,6.10E-06,1.760182725,down
Isoleucyl-Methionine,0.286311055,-1.804344716,0.024423508,1.054632105,down
Neotussilagine,0.286292942,-1.804435993,0.002714238,1.344971436,down
"(S,E)-Lyratol propanoate",0.284242152,-1.814807581,3.90E-08,1.874046703,down
1-O-E-Cinnamoyl-(6-arabinosylglucose),0.281961755,-1.826428603,0.022829533,1.036788996,down
Physangulide,0.281669797,-1.82792322,1.80E-06,1.814851511,down
"Polyethylene, oxidized",0.281324404,-1.829693385,0.007179322,1.232251634,down
"2,6-Di-tert-butylbenzoquinone",0.280420213,-1.834337752,0.0048112,1.261514857,down
31-Hydroxy rifabutin,0.277460557,-1.849645398,0.007815171,1.252529985,down
"3b,5a,6b-Cholestanetriol",0.273699752,-1.869333966,2.52E-06,1.764710086,down
Zeranol,0.271020518,-1.883526019,0.020965147,1.140420284,down
"PE(22:4(7Z,10Z,13Z,16Z)/24:0)",0.266948461,-1.905366862,0.001601532,1.371427491,down
Perulactone,0.26605033,-1.910228902,0.000967796,1.483356843,down
Adlupone,0.265600908,-1.912668015,1.17E-09,1.85425061,down
Quillaic acid 3-[galactosyl-(1->2)-glucuronide],0.26404066,-1.921167986,0.015363554,1.094099108,down
8-Acetoxy-4-acoren-3-one,0.262717188,-1.928417504,0.010888748,1.164587849,down
Threoninyl-Glutamine,0.2573333,-1.958289933,0.000336328,1.465955334,down
gamma-Chaconine,0.25726095,-1.958695609,0.001571818,1.45436921,down
"(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one",0.251809927,-1.989592938,0.020482778,1.080512338,down
Feruloylcholine,0.251658949,-1.990458191,0.015265191,1.125463966,down
"DG(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",0.24684406,-2.018328164,0.005118434,1.259706764,down
Panaquinquecol 2,0.246007975,-2.023223007,0.000219103,1.629577569,down
Menthoside,0.244188405,-2.0339334,1.04E-05,1.664785945,down
Glyuranolide,0.240745445,-2.05441959,0.022183626,1.054821799,down
Histidinyl-Isoleucine,0.23945075,-2.062199139,4.77E-08,1.816544852,down
Mucronine D,0.232298454,-2.105948543,0.006654781,1.292043359,down
Eicosapentaenoic acid,0.232011587,-2.107731235,1.17E-07,1.850942507,down
DG(14:0/18:1(11Z)/0:0),0.231814167,-2.108959359,0.032344738,1.066650739,down
Methyl octynecarboxylate,0.230223288,-2.118894321,3.64E-05,1.621840096,down
Pyranocyanin B,0.2251045,-2.151333199,0.000649011,1.527560847,down
"(1E,4Z,6a,8b,10a)-8-(2-Methylbutanoyloxy)-10,15-dihydroxy-3-oxo-1,4,11(13)-germacratrien-12,6-olide",0.223528854,-2.161467025,0.003297518,1.398634678,down
7-Hydroxybutylidenephthalide 7-(6-malonylglucoside),0.222840251,-2.16591825,0.013057587,1.176211229,down
L-Glutamine,0.222176108,-2.170224409,0.000448459,1.447646459,down
Aegle marmelos Alkaloid C,0.220899874,-2.178535502,1.30E-05,1.750451077,down
Diflunisal,0.219859801,-2.185344245,0.000248147,1.571413154,down
Berteroin,0.215761179,-2.212492786,0.024984145,1.070973682,down
Exemestane,0.213814721,-2.225566912,0.010929273,1.231164845,down
Pantetheine,0.20758967,-2.268193438,0.028877768,1.038246788,down
trans-isoeugenol-O-glucuronide,0.207190585,-2.270969648,0.008552829,1.199671727,down
Marmesin rhamnoside,0.206341606,-2.276893341,0.01913734,1.060091248,down
Dodecanedioic acid,0.20203214,-2.307343274,0.000429911,1.590015315,down
"Glucosyl 6-hydroxy-2,6-dimethyl-2E,7-octadienoate",0.199207641,-2.327655107,0.000545952,1.57842398,down
"7,8-Dihydropteroic acid",0.199018341,-2.329026706,0.000333325,1.588529663,down
"(3b,4b,11b,14b)-11-Ethoxy-3,4-epoxy-14-hydroxy-12-cyathen-15-al 14-xyloside",0.19814494,-2.335371966,0.001608097,1.478471311,down
1-Stearoylglycerophosphoglycerol,0.196195162,-2.349638632,0.036120447,1.056524412,down
"5,9,11-trihydroxyprosta-6E,14Z-dien-1-oate",0.195389885,-2.355572315,0.01070076,1.143760057,down
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-dodecanone]",0.19318109,-2.371974217,2.58E-05,1.676283373,down
L-erythro-tetrahydrobiopterin,0.1925814,-2.376459725,1.11E-05,1.803139776,down
Antibiotic X 14889A,0.188347111,-2.408534192,1.78E-05,1.75851198,down
Eicosapentaenoyl Ethanolamide,0.187890732,-2.412034191,1.37E-05,1.699437972,down
"12,13-DiHODE",0.184925772,-2.434981794,0.000132794,1.681102959,down
Lyciumoside IV,0.183495922,-2.446180095,3.72E-05,1.657692613,down
Neriantogenin,0.179040629,-2.481641088,0.000440765,1.498328661,down
Shinflavanone,0.177433315,-2.494651176,0.011168299,1.17064836,down
Melatonin glucuronide,0.176466739,-2.502531809,0.002981395,1.342802172,down
Cer(t18:0/16:0),0.174682128,-2.517196083,0.002517791,1.442624654,down
3-beta-Hydroxy-4-beta-methyl-5-alpha-cholest-7-ene-4-alpha-carboxylate,0.173471571,-2.527228846,0.000839092,1.530540646,down
"1-(9Z,12Z,15Z-octadecatrienoyl)-glycero-3-phosphate",0.170311102,-2.553755609,0.007179121,1.300641449,down
N(6)-(Octanoyl)lysine,0.169684888,-2.559070007,0.001319866,1.485667228,down
Dinophysistoxin 2,0.169611831,-2.559691286,0.000819394,1.462231205,down
Norbuprenorphine,0.168944675,-2.56537722,0.000821564,1.552490809,down
Nervonic acid,0.164496513,-2.603871091,0.015360537,1.165914111,down
5-Methylcytidine,0.163654131,-2.611278077,5.35E-05,1.708267761,down
Methyl dihydrojasmonate,0.163359606,-2.613876806,0.022871965,1.061285871,down
Tenofovir,0.160072176,-2.643205533,0.002182249,1.447267716,down
Morphinone,0.158780069,-2.654898264,3.07E-08,1.861247083,down
"LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))",0.158340045,-2.658901925,3.70E-06,1.812882929,down
"N-Acetyl-2,3-dihydro-1H-pyrrole",0.156720538,-2.673733837,3.71E-05,1.736267046,down
1-Methyladenosine,0.156557279,-2.675237509,0.000408332,1.498247702,down
Desogestrel,0.154831878,-2.691225559,0.001202689,1.449507749,down
4-Hydroxy-3-(16-methylheptadecyl)-2H-pyran-2-one,0.151503052,-2.722581235,0.030945115,1.011110873,down
10-Hydroxy-8-nor-2-fenchanone glucoside,0.15112827,-2.726154541,0.029847129,1.044252014,down
Tiropramide,0.150697421,-2.730273366,9.49E-05,1.706114036,down
"N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide",0.148416298,-2.752278567,0.004807889,1.360652747,down
"(17alpha,23S)-17,23-Epoxy-29-hydroxy-27-norlanosta-1,8-diene-3,15,24-trione",0.148083823,-2.755514051,0.000399425,1.610206511,down
Muricatin A,0.14562864,-2.779633983,0.001117834,1.508119458,down
4-Oxoretinol,0.145010674,-2.785768998,0.000373946,1.577235345,down
Quinceoxepine,0.144489943,-2.790959013,0.000941682,1.542062838,down
Isoleucyl-Isoleucine,0.141771329,-2.818362291,0.004593604,1.332604438,down
5(S)-Hydroperoxyeicosatetraenoic acid,0.141549408,-2.820622379,0.000160451,1.679865137,down
Heptanoylcarnitine,0.140949189,-2.826752922,5.18E-08,1.879845788,down
(-)-Fumigaclavine B,0.13799702,-2.857290984,0.019373316,1.156995377,down
"Dihydro-2,4,6-tris(2-methylpropyl)-4h-1,3,5-dithiazine",0.135716691,-2.881329936,0.001459539,1.43715596,down
Ipriflavone,0.130268653,-2.940438133,1.23E-06,1.807344338,down
Phenethyl rutinoside,0.129985373,-2.943578807,1.77E-07,1.849942302,down
Hoduloside VI,0.129598096,-2.947883575,1.69E-05,1.716985628,down
"2-Benzyl-4,5-dimethyl-1,3-dioxolane",0.124552788,-3.005170777,0.00030034,1.623658705,down
Isoleucyl-Hydroxyproline,0.12448546,-3.005950853,0.01444271,1.206895607,down
"3a,7a-Dihydroxy-5b-cholestanate",0.122292935,-3.031587039,0.003338551,1.39644247,down
"(8E,15E)-1,8,15-Heptadecatriene-11,13-diyne",0.121673074,-3.038918162,0.023699441,1.079496355,down
Colupox b,0.120776717,-3.049585738,0.000466968,1.599417475,down
Ornithine,0.119139765,-3.069273079,9.22E-06,1.756677973,down
Matesaponin 2,0.118488967,-3.077175363,0.000352865,1.568809754,down
"12alpha-Hydroxy-13,18-dehydroparain",0.113888308,-3.134308454,0.015441427,1.14473582,down
D-Linalool 3-(6''-malonylglucoside),0.109929812,-3.185345403,0.029135583,1.02923325,down
"25-Hydroxyvitamin D3-26,23-lactone",0.109696532,-3.188410182,0.000143598,1.682266777,down
Farnesiferol B,0.109156185,-3.195534215,0.000703936,1.544743931,down
Pimozide,0.106370061,-3.232835954,1.10E-08,1.896418496,down
Retinyl ester,0.105328746,-3.247028865,0.008216192,1.300311869,down
Mocimycin,0.102296612,-3.289169733,0.001495812,1.451956579,down
11-Dehydro-thromboxane B2,0.100464943,-3.315235928,5.01E-06,1.820743864,down
Helinorbisabone,0.098797931,-3.339375361,1.17E-06,1.797701938,down
Triamterene,0.096999963,-3.365871993,0.01097002,1.249822977,down
"3,7-Dihydroxy-25-methoxycucurbita-5,23-dien-19-al",0.096508443,-3.373201021,0.034039911,1.033723739,down
L-prolyl-L-glycine,0.092434118,-3.43543073,4.08E-06,1.754357795,down
Imidazolepropionic acid,0.091785602,-3.445588332,0.001926525,1.460970758,down
DIMBOA-Glc,0.090705247,-3.462670174,0.025256466,1.093355924,down
"4alpha,5alpha-Epoxy-11-eudesmen-3a-ol",0.08653215,-3.530619949,5.85E-07,1.848380465,down
4-Ethyl-5-pentyloxazole,0.086411856,-3.532626918,0.023945427,1.115811782,down
Leukotriene B4 dimethylamide,0.08472476,-3.561072546,2.46E-06,1.798858063,down
19'-Hexanoyloxymytiloxanthin,0.080184464,-3.640533461,4.73E-05,1.741811277,down
"7a,12a-Dihydroxy-5a-cholestan-3-one",0.079739415,-3.648563167,0.000650178,1.583818682,down
Trigoforin,0.07898871,-3.662209724,1.25E-07,1.868777397,down
"16beta-16-Hydroxy-3-oxo-1,12-oleanadien-28-oic acid",0.078297359,-3.674892544,9.91E-07,1.844048815,down
Nummularine B,0.078225939,-3.676209125,0.026201944,1.058000587,down
Methyl sorbate,0.07766184,-3.686650296,7.24E-05,1.715732033,down
Melatonin radical,0.07525347,-3.732098084,0.021820545,1.101604678,down
"PC(20:4(5Z,8Z,11Z,14Z)/24:0)",0.07506377,-3.73573944,0.001118909,1.507632737,down
1-(2-Furyl)butan-3-one,0.073231459,-3.771392646,0.001018288,1.529918264,down
OR-1855,0.072774376,-3.780425619,0.028121318,1.085543815,down
Oxazepam,0.072045641,-3.794945043,0.009179769,1.280943939,down
Tetrahydropersin,0.070647331,-3.823221139,0.000110239,1.686884504,down
Raffinose,0.068039138,-3.877491316,0.009326198,1.268040989,down
Bisbynin,0.067458954,-3.889846252,0.000865372,1.54463819,down
Actinidic acid,0.064535258,-3.953768614,0.014508718,1.161655504,down
Hydroxyisonobilin,0.063564025,-3.975645713,0.000782718,1.560026055,down
Sarcodon scabrosus Depsipeptide,0.061947983,-4.012798876,0.012825116,1.162292252,down
OPC4-CoA,0.061125719,-4.032076665,0.003257849,1.356368465,down
Benzyl Benzoate,0.055320516,-4.176041579,5.96E-07,1.860546276,down
"PE(DiMe(9,3)/DiMe(9,5))",0.055282329,-4.177037789,0.033100603,1.030580496,down
