name,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9
Decanoic acid,2.16E-05,2.02E-05,3.11E-05,1.14E-05,1.99E-05,1.82E-05,2.61E-05,2.57E-05,2.14E-05,1.35E-05,1.05E-05,1.20E-05,1.60E-05,1.38E-05,2.66E-05,3.99E-05,1.27E-05,1.98E-05
L-Pipecolic acid,0.00023787,0.000246629,0.000218764,0.000276542,0.00037358,0.000210122,0.000181891,0.000250882,0.000262782,0.000386552,0.000515732,0.000215944,0.000228647,0.000300594,0.000265311,0.000289918,0.000240912,0.000347403
mono-Ethyl malonate,2.54E-06,2.23E-06,2.42E-06,3.03E-06,2.61E-06,2.77E-06,2.42E-06,2.43E-06,2.60E-06,2.49E-06,1.95E-06,3.10E-06,3.61E-06,3.12E-06,3.54E-06,3.40E-06,2.92E-06,3.83E-06
3-Methyl-2-oxindole,2.84E-05,2.57E-05,3.80E-05,4.21E-05,6.73E-05,2.22E-05,2.18E-05,2.94E-05,3.34E-05,1.71E-05,1.68E-05,1.48E-05,1.43E-05,1.95E-05,1.77E-05,1.12E-05,1.44E-05,2.15E-05
D-Saccharic acid potassium salt,3.11E-06,2.63E-06,2.18E-06,2.64E-06,2.98E-06,3.13E-06,2.60E-06,3.33E-06,3.48E-06,2.35E-06,2.88E-06,3.75E-06,2.62E-06,2.79E-06,3.15E-06,3.75E-06,3.16E-06,3.48E-06
L-Carnitine,0.001815778,0.001544991,0.001305098,0.001773028,0.001492956,0.001774899,0.001628725,0.001804683,0.001578969,0.001361451,0.001285393,0.001038199,0.001069361,0.001211919,0.001086588,0.001398477,0.001382113,0.000909649
Methyl indole-3-acetate,7.25E-05,3.87E-05,4.30E-05,9.97E-05,9.79E-05,7.12E-05,5.03E-05,6.39E-05,7.85E-05,2.70E-05,5.44E-05,1.93E-05,1.85E-05,2.35E-05,2.03E-05,2.79E-05,2.27E-05,1.84E-05
S-Hexylglutathione,4.15E-06,4.07E-06,3.13E-06,7.73E-06,5.29E-06,4.65E-06,4.14E-06,4.57E-06,6.66E-06,2.40E-06,4.39E-06,4.86E-06,4.36E-06,3.21E-06,3.05E-06,5.29E-06,4.52E-06,4.11E-06
(-)-Riboflavin,4.98E-05,5.85E-05,3.87E-05,5.93E-05,8.40E-05,3.96E-05,3.62E-05,5.70E-05,4.34E-05,1.72E-05,4.30E-05,2.42E-05,1.41E-05,2.10E-05,2.02E-05,1.47E-05,1.34E-05,1.80E-05
5-Hydroxyindole-3-acetic acid,2.04E-05,2.88E-05,2.34E-05,1.27E-05,1.66E-05,2.33E-05,1.99E-05,1.69E-05,1.57E-05,1.42E-05,1.99E-05,1.30E-05,9.49E-06,1.35E-05,1.58E-05,8.04E-06,1.29E-05,1.76E-05
Arachidonic Acid (peroxide free),0.001094504,0.001033635,0.001019514,0.000851293,0.000823199,0.000959871,0.000902193,0.000952986,0.000839372,0.000699366,0.000790735,0.000835822,0.000712519,0.000918041,0.001269289,0.000826464,0.000867166,0.000828345
D-Glucuronic acid sodium salt monohydrate,0.000132829,0.00012544,0.000163981,0.000152424,0.00015243,0.000156188,0.000162247,0.000149584,0.000157005,0.000148681,0.000140024,0.000148386,0.000171472,0.000155546,0.000141038,0.000181885,0.00018295,0.000169236
Heptanoic acid,7.76E-06,5.84E-06,6.40E-06,5.55E-06,5.34E-06,5.34E-06,6.16E-06,5.46E-06,7.84E-06,5.96E-06,3.67E-06,4.22E-06,4.88E-06,4.81E-06,4.17E-06,5.13E-06,5.45E-06,5.75E-06
Geranylgeraniol,0.00044229,0.000374312,0.000487968,0.000438954,0.000436226,0.000453426,0.000465426,0.000413515,0.000418008,0.000373522,0.000385222,0.000356741,0.000403239,0.000399878,0.000399564,0.000520962,0.000444402,0.000401118
Phenylacetylglycine,3.08E-05,3.07E-05,6.10E-05,3.33E-05,4.19E-05,3.23E-05,5.30E-05,3.39E-05,2.41E-05,2.08E-05,2.23E-05,2.86E-05,1.85E-05,1.82E-05,3.36E-05,1.96E-05,3.15E-05,4.16E-05
4-Methylcatechol,3.33E-05,3.26E-05,3.50E-05,3.45E-05,4.40E-05,3.55E-05,3.60E-05,3.33E-05,3.27E-05,3.66E-05,3.85E-05,3.42E-05,3.24E-05,3.90E-05,2.97E-05,3.38E-05,3.50E-05,3.70E-05
Retinol (Vitamin A),0.000438445,0.000477032,0.000384964,0.000270454,0.000411477,0.000495966,0.000262282,0.000389083,0.000298875,0.000310502,0.000343077,0.000375985,0.000386471,0.000345382,0.000361393,0.000336609,0.000406224,0.000421473
Uridine 5'-monophosphate,2.27E-06,3.71E-06,1.15E-06,3.03E-06,5.62E-06,9.57E-07,1.28E-06,2.13E-06,1.91E-06,2.60E-06,3.81E-06,2.91E-06,2.94E-06,2.78E-06,3.33E-06,4.76E-06,2.05E-06,3.39E-06
4-Hydroxy-3-methoxycinnamic acid,1.59E-06,1.76E-06,2.91E-06,4.87E-06,3.31E-06,2.78E-06,2.94E-06,1.29E-06,8.24E-07,1.32E-06,3.15E-06,3.87E-06,2.30E-06,3.46E-06,1.00E-06,9.40E-06,5.98E-06,1.77E-06
Glycocholic acid,5.42E-06,1.15E-06,2.97E-07,5.26E-06,1.15E-05,4.88E-06,0,1.68E-06,1.78E-06,7.13E-06,1.72E-06,3.41E-07,5.73E-07,2.06E-06,1.78E-07,1.30E-05,0,0
Lumichrome,2.27E-05,1.99E-05,2.92E-05,2.99E-05,3.14E-05,2.35E-05,3.06E-05,3.16E-05,2.78E-05,1.90E-05,1.88E-05,1.77E-05,1.77E-05,1.65E-05,1.67E-05,2.46E-05,2.71E-05,2.18E-05
Erucamide,0.000138141,4.83E-05,4.34E-05,4.05E-05,4.75E-05,4.47E-05,5.04E-05,2.86E-05,2.44E-05,2.49E-05,3.93E-05,3.03E-05,2.78E-05,2.97E-05,3.54E-05,3.23E-05,2.24E-05,2.42E-05
epsilon-Captrolactone,2.35E-05,2.60E-05,3.88E-05,4.83E-05,4.98E-05,5.82E-05,6.30E-05,5.86E-05,6.41E-05,6.52E-05,6.04E-05,6.81E-05,7.38E-05,7.25E-05,6.23E-05,8.39E-05,7.78E-05,7.72E-05
Betaine,0.000731228,0.000779808,0.000584035,0.000882903,0.000862848,0.000651896,0.000562594,0.000800483,0.000747867,0.000631702,0.000903407,0.000440066,0.000709748,0.000424821,0.000585498,0.000609412,0.000670397,0.000678104
Choline hydroxide solution,0.000639139,0.000646123,0.000657368,0.000481664,0.000478775,0.000688433,0.00061735,0.00066937,0.000620488,0.000428951,0.000590655,0.000632921,0.000480429,0.000465693,0.000550225,0.000444346,0.000539669,0.000574441
Eicosapentaenoic acid,0.000205083,0.000252687,0.000281253,0.000362861,0.000252002,0.000265762,0.000290311,0.000257029,0.000328774,4.20E-05,5.74E-05,5.53E-05,5.05E-05,7.20E-05,0.000100604,7.11E-05,5.52E-05,7.49E-05
cis-9-Palmitoleic acid,1.81E-05,1.20E-05,2.95E-05,1.61E-05,7.45E-06,1.19E-05,2.27E-05,1.33E-05,1.69E-05,8.56E-06,6.46E-06,8.56E-06,5.60E-06,7.21E-06,1.11E-05,6.54E-06,8.55E-06,8.34E-06
L-Asparagine,1.90E-05,2.06E-05,1.77E-05,2.12E-05,2.32E-05,2.25E-05,2.20E-05,2.34E-05,2.39E-05,1.93E-05,1.98E-05,2.61E-05,2.10E-05,2.33E-05,2.31E-05,2.59E-05,2.90E-05,2.71E-05
Indole-3-acetic acid sodium salt,1.47E-05,1.30E-05,1.85E-05,1.99E-05,3.25E-05,1.06E-05,1.08E-05,1.36E-05,1.59E-05,8.05E-06,8.29E-06,7.80E-06,6.58E-06,9.83E-06,8.43E-06,5.86E-06,5.81E-06,8.92E-06
"MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",4.07E-05,5.01E-05,4.56E-05,3.50E-05,2.49E-05,5.44E-05,5.98E-05,2.86E-05,3.23E-05,3.73E-05,2.63E-05,3.21E-05,3.64E-05,4.27E-05,5.59E-05,4.17E-05,3.60E-05,3.97E-05
10-Formyltetrahydrofolate,7.89E-07,1.50E-06,2.89E-06,2.48E-05,7.61E-06,4.87E-06,6.13E-07,1.80E-06,8.23E-07,2.45E-07,4.21E-07,6.49E-06,1.96E-06,1.42E-06,7.77E-07,8.86E-06,8.74E-06,0
7 alpha-Hydroxy-3-oxo-4-cholestenoate,9.61E-06,1.09E-05,9.58E-06,7.88E-06,9.75E-06,1.47E-05,8.41E-06,1.05E-05,3.96E-06,6.74E-06,6.78E-06,4.72E-06,3.85E-06,8.79E-06,3.45E-06,1.94E-05,9.27E-06,7.60E-06
Menaquinol,6.82E-07,6.08E-07,1.16E-06,3.43E-05,4.40E-07,3.66E-06,4.49E-06,2.11E-07,5.76E-08,3.07E-07,3.50E-07,8.72E-07,2.57E-07,2.34E-07,0,2.41E-07,0,8.81E-07
"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-glycero-3-phosphate",1.10E-05,1.90E-05,9.04E-06,1.42E-05,2.41E-05,8.64E-06,1.70E-05,1.63E-05,1.58E-05,1.63E-06,1.10E-05,8.94E-06,1.30E-06,9.32E-06,4.15E-06,3.18E-06,1.04E-05,5.32E-06
"MG(0:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)",1.43E-05,1.63E-05,1.61E-05,1.38E-05,1.14E-05,1.32E-05,1.75E-05,1.64E-05,1.82E-05,7.89E-06,9.03E-06,8.62E-06,7.63E-06,1.03E-05,7.43E-06,1.03E-05,7.44E-06,7.74E-06
"2,4-Toluenediamine",1.30E-06,9.94E-07,8.27E-06,1.46E-06,4.21E-06,1.62E-06,2.35E-06,3.07E-06,1.17E-06,1.27E-06,1.44E-06,4.52E-06,6.05E-06,2.13E-06,1.58E-06,1.81E-05,1.24E-05,2.05E-06
7'-Carboxy-gamma-tocotrienol,0.000149918,0.000108859,0.000159281,3.68E-05,3.34E-05,0.000170205,0.000125496,0.000123957,8.03E-05,5.27E-05,7.41E-05,0.000145258,0.000146072,0.000191976,5.76E-05,0.000253066,0.000198734,6.68E-05
Exemestane,1.21E-05,1.87E-05,1.87E-05,3.65E-05,5.00E-05,5.62E-06,7.64E-06,1.37E-05,1.72E-05,4.42E-06,5.32E-06,5.30E-06,3.10E-06,8.59E-06,3.53E-06,3.18E-06,2.39E-06,2.67E-06
"6,7-Dihydro-4-(hydroxymethyl)-2-(p-hydroxyphenethyl)-7-methyl-5H-2-pyrindinium",3.42E-06,2.55E-06,1.22E-06,4.46E-06,5.06E-06,1.35E-06,1.61E-06,3.16E-06,1.28E-06,2.39E-06,2.96E-06,1.57E-06,1.27E-06,2.16E-06,3.30E-06,9.25E-07,4.42E-07,6.88E-07
LPA(0:0/18:1(9Z)),2.20E-06,8.23E-08,1.02E-06,4.09E-06,2.59E-06,3.64E-06,2.53E-06,1.57E-06,2.03E-06,2.07E-06,2.50E-06,2.81E-06,3.32E-06,4.70E-06,2.08E-06,2.41E-06,4.79E-06,4.44E-06
Jasmonic acid,2.57E-06,2.25E-06,2.47E-06,2.14E-06,2.02E-06,1.82E-06,1.77E-06,1.56E-06,1.12E-06,1.29E-06,2.06E-06,1.34E-06,1.10E-06,7.84E-07,1.31E-06,1.46E-06,2.79E-07,2.37E-07
8-iso-PGA1,2.64E-06,1.02E-06,2.13E-05,5.72E-06,3.19E-06,1.88E-06,2.96E-06,3.06E-06,3.54E-06,7.17E-07,2.60E-06,2.50E-06,0,2.72E-06,1.48E-06,8.01E-07,4.06E-07,4.68E-07
Fistulosin,0.000637525,8.90E-06,4.16E-06,1.95E-06,2.88E-06,2.75E-06,2.46E-06,2.48E-06,3.73E-07,4.81E-06,2.28E-06,1.00E-06,8.03E-07,1.25E-06,4.97E-07,2.45E-06,5.27E-07,2.10E-06
N-Stearoyl GABA,1.21E-05,7.31E-06,1.20E-05,7.97E-06,1.09E-05,9.86E-06,9.80E-06,8.40E-06,1.02E-05,7.27E-06,1.74E-05,8.37E-06,5.87E-06,1.13E-05,1.73E-05,8.29E-06,4.73E-06,5.48E-06
Traumatic acid,5.66E-05,8.94E-05,8.65E-05,8.57E-05,9.76E-05,5.88E-05,6.10E-05,5.36E-05,6.93E-05,0.000103048,0.000123251,7.71E-05,5.52E-05,0.000108299,0.000133316,9.51E-05,7.61E-05,9.88E-05
Tauroursodeoxycholic acid,5.52E-05,4.20E-05,3.48E-05,1.70E-05,0.000141302,9.17E-05,2.70E-05,1.61E-05,2.41E-05,7.22E-05,6.39E-05,3.96E-05,1.52E-05,0.000115771,1.61E-05,5.16E-05,3.50E-05,1.53E-05
Quercetin 4'-glucoside,3.12E-06,1.30E-07,1.27E-07,7.43E-06,2.92E-05,1.44E-06,7.91E-07,3.29E-06,4.33E-06,0,0,0,0,0,0,0,0,0
Calcitriol,2.39E-05,2.57E-05,2.70E-05,2.87E-05,5.80E-05,5.50E-05,2.15E-05,3.08E-05,6.97E-05,5.65E-05,9.46E-05,5.95E-05,9.00E-05,6.75E-05,3.33E-05,0.000110552,0.00011679,9.24E-05
Heptadecanoic acid,9.16E-05,6.87E-05,0.00010389,7.68E-05,9.94E-05,7.18E-05,7.86E-05,8.05E-05,8.89E-05,9.13E-05,8.43E-05,9.08E-05,7.35E-05,7.74E-05,7.31E-05,9.00E-05,0.000125363,8.54E-05
"(E,E)-2,6-Octadienal",9.93E-06,6.46E-06,8.37E-06,6.28E-06,8.20E-06,7.61E-06,8.17E-06,6.34E-06,8.70E-06,6.19E-06,4.58E-06,4.45E-06,5.21E-06,4.96E-06,5.57E-06,5.35E-06,5.44E-06,6.74E-06
[8]-Shogaol,6.50E-06,6.80E-06,1.20E-05,1.53E-05,1.13E-05,1.26E-05,7.19E-06,7.53E-06,4.03E-06,5.41E-06,1.44E-05,1.80E-05,7.61E-06,1.24E-05,7.15E-06,2.60E-05,1.94E-05,7.91E-06
3-Oxooctadecanoic acid,1.76E-06,1.52E-06,2.37E-06,1.10E-06,1.67E-06,2.42E-06,1.14E-06,1.38E-06,1.61E-06,8.78E-07,1.36E-06,1.04E-06,1.59E-06,1.54E-06,1.31E-06,1.20E-06,1.21E-06,1.40E-06
Nicotinate D-ribonucleoside,9.80E-06,1.21E-05,1.37E-05,9.65E-06,1.36E-05,1.04E-05,1.25E-05,9.91E-06,9.03E-06,9.03E-06,6.93E-06,8.09E-06,6.04E-06,1.02E-05,1.31E-05,8.51E-06,1.04E-05,1.46E-05
Succinyladenosine,2.32E-05,2.69E-05,2.49E-05,2.02E-05,3.56E-05,2.00E-05,2.92E-05,1.74E-05,1.53E-05,1.46E-05,1.71E-05,2.74E-05,1.67E-05,3.15E-05,2.70E-05,2.35E-05,2.34E-05,2.39E-05
Cardanolmonoene,8.48E-10,0,8.73E-09,5.61E-09,0,3.21E-08,0,1.00E-09,1.76E-08,2.84E-09,1.12E-08,7.07E-08,2.50E-09,7.44E-09,0,3.00E-08,6.98E-09,2.20E-08
9-HEPE,4.45E-06,5.00E-06,3.63E-06,0,3.92E-07,2.63E-06,3.19E-06,2.91E-06,2.26E-06,0,1.08E-06,1.72E-06,0,1.91E-07,3.12E-06,0,0,9.76E-07
Oleyl alcohol,9.13E-05,4.78E-05,8.66E-05,5.07E-05,7.23E-05,6.03E-05,3.72E-05,2.48E-05,2.12E-05,2.86E-05,2.85E-05,3.72E-05,5.86E-05,4.15E-05,3.68E-05,5.12E-05,4.95E-05,3.53E-05
Cyclopassifloside VII,1.95E-05,1.54E-05,1.25E-05,1.64E-05,8.71E-06,1.21E-05,1.68E-05,2.02E-05,2.18E-05,1.67E-05,1.33E-05,1.86E-05,1.35E-05,1.39E-05,1.71E-05,1.45E-05,1.36E-05,1.53E-05
Pentosidine,5.65E-05,5.19E-05,5.01E-05,5.15E-05,4.95E-05,5.21E-05,4.02E-05,4.33E-05,3.91E-05,5.34E-05,5.01E-05,5.81E-05,3.80E-05,4.53E-05,4.92E-05,4.65E-05,5.88E-05,3.58E-05
Levorphanol,6.31E-07,5.14E-07,1.98E-06,2.83E-06,4.38E-06,1.73E-06,1.07E-06,1.19E-06,4.02E-07,5.60E-07,1.16E-06,1.73E-06,2.36E-06,1.60E-06,5.50E-08,4.00E-06,5.72E-06,1.19E-06
7'-Carboxy-alpha-tocotrienol,5.08E-06,9.07E-06,3.95E-06,4.99E-06,4.08E-06,4.08E-06,3.06E-06,3.70E-06,1.81E-06,0,0,0,0,0,0,0,0,0
"3,5,5-Trimethyl-2-cyclopenten-1-one",4.98E-06,3.80E-06,3.84E-06,3.15E-06,3.21E-06,3.40E-06,3.83E-06,2.98E-06,5.45E-06,3.62E-06,2.36E-06,2.48E-06,3.09E-06,2.86E-06,2.47E-06,3.22E-06,2.98E-06,3.15E-06
Cervonyl carnitine,2.87E-05,1.20E-05,9.15E-06,2.43E-05,4.19E-05,1.96E-05,2.06E-05,2.24E-05,1.95E-05,6.62E-07,6.72E-07,3.91E-07,7.39E-07,9.35E-07,7.87E-08,1.47E-06,1.01E-06,9.66E-07
"3 beta,7 alpha-Dihydroxy-5-cholestenoate",5.45E-05,7.25E-05,7.35E-05,8.51E-05,7.02E-05,7.47E-05,7.08E-05,6.71E-05,5.76E-05,6.30E-05,5.26E-05,5.25E-05,5.76E-05,5.83E-05,4.44E-05,6.74E-05,6.22E-05,6.30E-05
"Polyethylene, oxidized",1.82E-06,6.25E-06,8.67E-06,6.51E-06,4.12E-06,2.90E-06,2.08E-06,2.26E-06,2.20E-06,9.41E-07,1.46E-06,6.61E-07,5.78E-07,2.22E-06,9.84E-07,2.31E-06,8.30E-07,3.85E-07
Dihydroxyacidissiminol,1.13E-05,1.32E-05,1.52E-05,1.31E-05,9.63E-06,1.59E-05,1.25E-05,1.10E-05,7.32E-06,5.77E-06,1.85E-05,1.43E-05,9.22E-06,1.18E-05,9.60E-06,1.08E-06,4.00E-06,7.98E-06
3alpha-Hydroxyoreadone,7.18E-06,7.25E-06,9.43E-06,1.45E-05,2.34E-05,1.40E-05,6.72E-06,7.44E-06,4.39E-06,9.75E-06,1.62E-05,1.22E-05,7.34E-06,1.59E-05,7.55E-06,1.97E-05,1.65E-05,7.99E-06
1-alkyl-2-acylglycerophosphoethanolamine,4.60E-06,3.91E-06,4.51E-06,4.86E-06,4.84E-06,5.21E-06,4.85E-06,4.54E-06,4.71E-06,4.46E-06,4.36E-06,4.23E-06,4.13E-06,5.29E-06,4.37E-06,4.74E-06,5.19E-06,5.13E-06
Niazinin A,0,0,0,3.30E-06,0,7.48E-07,0,0,0,0,1.70E-07,1.65E-06,3.20E-07,0,0,1.30E-05,5.34E-06,0
"(S)-10,16-Dihydroxyhexadecanoic acid",0.000168537,0.000171515,0.000169684,0.000169507,0.000199384,0.000170978,0.000174561,0.000214159,0.000172974,0.000154511,0.000170794,0.000147549,0.00016623,0.000189998,0.000177405,0.000209198,0.000247638,0.000218716
Euglobal Ia1,7.30E-06,4.19E-06,1.82E-05,2.06E-05,1.55E-05,1.96E-05,7.62E-06,1.12E-05,4.39E-06,4.30E-06,1.89E-05,1.73E-05,4.56E-06,1.13E-05,1.32E-05,3.21E-05,4.52E-06,3.02E-06
Asparaginyl-Aspartate,1.71E-05,1.49E-05,1.85E-05,1.94E-05,1.56E-05,1.86E-05,1.89E-05,1.66E-05,1.74E-05,1.26E-05,1.19E-05,1.53E-05,1.46E-05,1.76E-05,1.81E-05,1.21E-05,1.48E-05,1.72E-05
1-Hexanol arabinosylglucoside,1.23E-07,1.69E-07,1.38E-06,4.70E-06,6.07E-06,4.06E-07,3.92E-07,3.36E-07,1.27E-06,5.20E-06,3.70E-06,6.47E-07,1.08E-07,2.87E-07,0,3.69E-06,6.20E-07,0
Ethyl crotonate,3.98E-06,4.48E-06,3.00E-06,4.32E-06,5.38E-06,2.66E-06,2.39E-06,3.36E-06,3.37E-06,1.30E-06,1.75E-06,7.97E-07,1.19E-06,1.07E-06,1.86E-06,8.40E-07,1.86E-06,1.48E-06
"N,N,O-Tridesmethyl-tramadol",3.53E-05,3.23E-05,4.18E-05,4.01E-05,4.04E-05,3.93E-05,4.16E-05,3.91E-05,3.95E-05,3.74E-05,3.57E-05,3.80E-05,4.28E-05,4.02E-05,3.33E-05,4.50E-05,4.53E-05,4.22E-05
Avocadene,3.66E-06,4.82E-06,2.12E-06,3.10E-06,4.31E-06,1.20E-06,3.88E-07,2.22E-06,1.40E-06,2.29E-06,7.12E-07,1.05E-06,6.11E-07,1.01E-06,2.63E-07,2.36E-07,1.91E-06,1.95E-06
Phytosphingosine-1-P,6.53E-06,1.24E-05,5.60E-06,1.17E-06,1.57E-06,1.40E-05,7.63E-06,1.05E-05,1.33E-05,2.26E-06,4.56E-06,4.33E-06,1.90E-06,3.04E-06,6.02E-06,3.50E-06,8.38E-06,1.81E-05
DL-2-Aminooctanoic acid,4.64E-06,3.82E-06,3.95E-06,5.10E-06,6.63E-06,6.16E-06,3.89E-06,5.07E-06,4.14E-06,1.67E-06,2.50E-06,1.85E-06,2.68E-06,1.42E-06,3.11E-06,2.06E-06,2.10E-06,2.24E-06
L-Lysopine,2.34E-05,1.83E-05,1.31E-05,5.87E-05,3.36E-05,2.30E-05,1.39E-05,2.29E-05,2.73E-05,2.99E-07,2.70E-07,3.80E-07,2.13E-07,0,3.40E-07,1.07E-07,1.24E-07,0
Isoleucyl-Hydroxyproline,1.43E-06,3.57E-07,9.02E-07,3.52E-06,6.86E-06,1.45E-06,1.51E-06,2.87E-06,1.93E-06,4.22E-07,1.94E-07,4.40E-07,8.95E-08,4.95E-07,3.52E-07,0,1.80E-07,4.21E-07
"(3R, 6'Z)-3,4-Dihydro-8-hydroxy-3-(6-pentadecenyl)-1H-2-benzopyran-1-one",1.30E-05,8.11E-06,6.03E-06,3.23E-05,3.77E-06,1.44E-05,1.97E-05,9.57E-06,1.53E-05,2.07E-05,1.78E-05,5.45E-06,3.01E-05,6.16E-06,1.80E-05,7.39E-06,7.31E-07,2.34E-06
2-Octenedioic acid,3.03E-05,3.08E-05,3.11E-05,2.98E-05,4.52E-05,2.10E-05,3.46E-05,2.82E-05,2.33E-05,4.53E-05,2.84E-05,1.60E-05,1.13E-05,1.52E-05,2.36E-05,1.32E-05,1.34E-05,1.03E-05
Marimastat,2.71E-06,1.82E-06,1.92E-06,4.58E-06,3.72E-06,5.11E-06,4.58E-06,2.71E-06,3.05E-06,5.63E-06,2.83E-06,1.88E-06,2.74E-06,5.50E-06,1.49E-06,5.02E-06,7.78E-06,4.77E-06
"(3Z,6Z)-3,6-Nonadien-1-ol",0.000126563,0.000121362,0.000148204,0.000142425,0.000135853,0.000143081,0.000147506,0.000141068,0.000140485,0.000131742,0.000123071,0.000133378,0.000150693,0.000143914,0.000128721,0.000154058,0.000160062,0.00014809
"8,9-DiHETrE",1.38E-05,1.29E-05,1.71E-05,1.67E-05,1.73E-05,1.46E-05,1.57E-05,1.36E-05,1.38E-05,1.22E-05,1.20E-05,1.20E-05,1.49E-05,1.17E-05,1.30E-05,1.63E-05,1.59E-05,1.40E-05
Porrigenin A,1.49E-05,2.87E-05,1.70E-05,1.05E-05,1.36E-05,1.90E-05,1.52E-05,1.91E-05,1.12E-05,4.11E-06,8.21E-06,8.08E-06,8.35E-06,1.23E-05,1.56E-05,8.96E-06,1.06E-05,1.43E-05
3''-O-Caffeoylcosmosiin,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58E-10,0,0,0,0
"MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",2.13E-05,3.72E-05,9.26E-06,4.11E-05,3.45E-05,1.94E-05,1.68E-05,2.54E-05,4.98E-05,1.89E-05,2.97E-05,4.99E-06,2.24E-05,9.42E-06,1.75E-05,1.97E-05,7.50E-06,8.14E-06
7-(4-Hydroxyphenyl)-1-phenyl-4-hepten-3-one,1.95E-08,0,3.35E-07,3.31E-06,5.79E-06,1.22E-08,1.37E-07,2.94E-07,2.89E-07,2.85E-06,2.36E-06,2.29E-08,2.22E-10,1.46E-08,1.08E-09,2.53E-06,3.39E-07,7.58E-09
